Customer_ID,Order_ID,Order_Date,Region,Customer_Segment,Quantity,Price_per_Unit,Revenue,COGS,Marketing_Cost,Profit
CUST-3047,ORD-24,2022-06-09,Asia,High Value,2,190.44,380.87,182.35,76.74,121.78
CUST-3747,ORD-25,2022-06-15,Africa,Low Value,3,195.91,587.72,266.31,18.43,302.98
CUST-1189,ORD-26,2022-07-24,Africa,High Value,2,226.29,452.58,288.63,58.92,105.03
CUST-3734,ORD-27,2022-09-24,Africa,Mid Value,5,64.14,320.7,168.89,63.9,87.91
CUST-4005,ORD-28,2022-05-18,Europe,High Value,2,22.53,45.07,29.68,60.13,-44.75
CUST-5658,ORD-29,2023-01-03,North America,High Value,3,373.28,1119.85,564.24,30.44,525.17
CUST-2899,ORD-30,2023-03-19,North America,High Value,3,181.93,545.78,312.76,57.79,175.23
CUST-8734,ORD-31,2023-07-21,Africa,Low Value,4,314.53,1258.13,576.52,40.47,641.14
CUST-2267,ORD-32,2023-12-22,Europe,Mid Value,2,167.38,334.75,225.52,16.41,92.82
CUST-2528,ORD-33,2022-01-17,Asia,Low Value,3,492.41,1477.23,730.48,20.07,726.68
CUST-4556,ORD-34,2022-03-09,Africa,High Value,2,171.4,342.81,179.52,6.95,156.34
CUST-4890,ORD-35,2022-05-13,Europe,High Value,1,310.42,310.42,176.92,29.9,103.61
CUST-9838,ORD-36,2023-12-01,Africa,Low Value,5,125.59,627.93,325.15,59.6,243.18
CUST-6393,ORD-37,2023-03-06,Europe,Low Value,5,268.55,1342.73,617.71,77.68,647.34
CUST-9792,ORD-38,2022-11-04,Europe,High Value,2,298.08,596.16,272.61,15.02,308.53
CUST-9433,ORD-39,2023-10-12,Africa,Mid Value,5,107.76,538.78,371.11,31.5,136.17
CUST-8513,ORD-40,2022-06-23,North America,Low Value,5,79.35,396.77,210.83,18.61,167.33
CUST-3612,ORD-41,2023-02-16,Africa,High Value,1,487.33,487.33,260.04,62.07,165.22
CUST-8041,ORD-42,2022-04-07,North America,High Value,5,448.77,2243.84,1527.44,73.97,642.43
CUST-7235,ORD-43,2023-11-14,North America,Mid Value,5,336.83,1684.16,1109.93,13.55,560.68
CUST-6486,ORD-44,2022-06-03,Asia,High Value,3,433.31,1299.92,808.21,72.77,418.94
CUST-8099,ORD-45,2023-11-26,Europe,Low Value,5,65.87,329.34,202.42,25.36,101.56
CUST-1775,ORD-46,2022-08-30,Africa,High Value,2,370.1,740.2,481.33,21.73,237.14
CUST-9226,ORD-47,2022-10-31,Europe,High Value,5,157.09,785.45,386.61,9.25,389.59
CUST-4152,ORD-48,2022-10-12,Asia,High Value,2,278.96,557.91,343.71,11.04,203.17
CUST-2585,ORD-49,2022-01-27,North America,High Value,5,387.11,1935.55,918.61,10.19,1006.75
CUST-4943,ORD-50,2023-02-06,Africa,Mid Value,2,36.07,72.14,34.74,38.48,-1.09
CUST-8555,ORD-51,2022-12-26,Europe,Low Value,5,353.52,1767.61,902.7,54.4,810.51
CUST-4073,ORD-52,2022-03-01,Asia,High Value,2,228.74,457.47,287.04,18.83,151.6
CUST-2021,ORD-53,2022-07-21,North America,Low Value,5,231.04,1155.21,777.62,21.32,356.27
CUST-4843,ORD-54,2023-08-04,North America,Mid Value,1,455.49,455.49,283.63,17.97,153.89
CUST-8989,ORD-55,2023-01-05,Europe,Low Value,3,432.67,1298.02,719.31,65.49,513.22
CUST-7873,ORD-56,2023-06-17,North America,Mid Value,3,47.62,142.85,82.63,15.29,44.93
CUST-6675,ORD-57,2022-06-01,Asia,Low Value,3,316.79,950.37,596.91,10.51,342.96
CUST-1161,ORD-58,2022-04-12,North America,Low Value,3,229.21,687.62,414.85,7.75,265.01
CUST-5297,ORD-59,2023-08-30,Africa,High Value,1,76.55,76.55,44.58,8.01,23.96
CUST-1995,ORD-60,2023-03-22,Africa,Low Value,1,428.5,428.5,218.19,46.0,164.31
CUST-8629,ORD-61,2022-08-17,Europe,High Value,5,54.33,271.63,164.13,12.05,95.45
CUST-2016,ORD-62,2022-05-05,Asia,High Value,1,35.41,35.41,16.1,21.68,-2.37
CUST-8869,ORD-63,2022-08-24,North America,Low Value,3,114.81,344.42,203.21,67.45,73.76
CUST-7439,ORD-64,2022-06-11,North America,High Value,4,165.62,662.49,434.05,77.61,150.83
CUST-8892,ORD-65,2023-07-08,North America,Low Value,5,49.22,246.11,121.81,69.56,54.74
CUST-7863,ORD-66,2022-12-19,Africa,High Value,2,327.83,655.66,313.77,76.97,264.92
CUST-8916,ORD-67,2022-03-09,Asia,High Value,3,229.83,689.5,477.52,55.28,156.7
CUST-9529,ORD-68,2022-06-22,North America,Mid Value,3,217.85,653.55,431.91,79.04,142.6
CUST-1878,ORD-69,2023-09-29,Europe,Mid Value,3,89.76,269.29,141.51,42.23,85.55
CUST-5887,ORD-70,2023-11-13,Asia,Low Value,1,230.14,230.14,115.56,64.6,49.97
CUST-5859,ORD-71,2023-07-13,Asia,High Value,2,207.28,414.56,221.17,77.87,115.51
CUST-7331,ORD-72,2022-09-18,North America,Mid Value,5,204.15,1020.74,569.38,58.2,393.17
CUST-9571,ORD-73,2022-08-05,Africa,Mid Value,3,124.91,374.74,245.55,76.75,52.43
CUST-9684,ORD-74,2022-05-04,Asia,Mid Value,2,65.33,130.66,66.61,24.02,40.03
CUST-8208,ORD-75,2022-06-11,Europe,High Value,4,145.14,580.56,365.87,27.52,187.16
CUST-6276,ORD-76,2022-07-20,Asia,Low Value,1,340.29,340.29,232.19,34.79,73.31
CUST-3062,ORD-77,2023-03-30,Africa,High Value,3,55.0,165.01,89.91,39.84,35.26
CUST-1064,ORD-78,2023-02-06,Europe,High Value,2,203.52,407.03,185.81,72.31,148.91
CUST-9006,ORD-79,2023-04-07,Africa,Mid Value,2,266.9,533.8,350.66,71.59,111.56
CUST-3568,ORD-80,2022-10-02,North America,High Value,3,482.31,1446.94,907.38,54.35,485.21
CUST-6463,ORD-81,2022-07-25,Asia,High Value,2,425.04,850.07,414.21,22.42,413.44
CUST-3027,ORD-82,2022-02-09,Europe,Mid Value,2,459.97,919.95,551.26,23.03,345.66
CUST-3695,ORD-83,2022-09-30,Africa,Mid Value,5,413.6,2068.0,1357.03,52.38,658.59
CUST-6258,ORD-84,2023-12-01,North America,High Value,1,302.77,302.77,149.95,42.75,110.07
CUST-6618,ORD-85,2022-04-03,Europe,Mid Value,5,433.18,2165.89,1095.34,24.39,1046.15
CUST-7736,ORD-86,2022-02-11,Asia,Low Value,1,291.32,291.32,145.79,17.62,127.91
CUST-1391,ORD-87,2023-04-10,Asia,Low Value,1,191.72,191.72,134.08,59.2,-1.56
CUST-6892,ORD-88,2023-01-14,Africa,Low Value,5,198.72,993.62,504.14,65.99,423.48
CUST-4561,ORD-89,2022-04-17,Europe,Low Value,3,291.42,874.26,451.76,24.6,397.91
CUST-7184,ORD-90,2022-11-24,North America,Low Value,2,408.53,817.06,377.47,36.87,402.73
CUST-4099,ORD-91,2022-03-06,North America,Mid Value,4,84.15,336.61,234.22,58.51,43.88
CUST-7278,ORD-92,2022-12-31,North America,Mid Value,5,38.85,194.24,99.39,40.19,54.66
CUST-9392,ORD-93,2023-04-29,Africa,Low Value,5,398.99,1994.96,1259.44,77.09,658.43
CUST-4104,ORD-94,2023-10-09,North America,Low Value,3,330.84,992.53,453.18,14.72,524.63
CUST-8215,ORD-95,2022-01-24,Europe,Low Value,2,414.23,828.46,535.06,69.08,224.32
CUST-3454,ORD-96,2023-06-24,Africa,Mid Value,5,488.8,2444.02,1558.44,27.96,857.63
CUST-9996,ORD-97,2022-03-03,Asia,Mid Value,4,140.67,562.68,265.04,56.53,241.11
CUST-3731,ORD-98,2023-05-06,Africa,High Value,2,113.26,226.52,108.88,24.03,93.62
CUST-9154,ORD-99,2022-09-30,Africa,High Value,5,183.67,918.35,481.01,77.49,359.85
CUST-6056,ORD-100,2022-08-17,Africa,High Value,5,441.42,2207.11,1188.9,8.76,1009.45
CUST-9110,ORD-101,2022-01-20,Europe,High Value,1,26.7,26.7,17.25,43.52,-34.06
CUST-4840,ORD-102,2022-01-03,Asia,Mid Value,1,25.06,25.06,11.66,73.29,-59.89
CUST-2028,ORD-103,2023-02-25,Asia,Mid Value,5,124.06,620.29,379.96,40.24,200.09
CUST-8385,ORD-104,2023-12-31,Africa,Mid Value,3,200.44,601.32,304.95,68.03,228.34
CUST-1502,ORD-105,2022-11-03,Africa,Mid Value,1,165.13,165.13,90.1,76.24,-1.21
CUST-7910,ORD-106,2023-03-08,Africa,Low Value,5,415.96,2079.8,937.06,10.09,1132.66
CUST-7938,ORD-107,2022-05-16,Europe,High Value,2,351.07,702.13,367.06,41.66,293.41
CUST-5488,ORD-108,2023-05-30,Europe,Mid Value,4,422.16,1688.64,832.22,56.48,799.94
CUST-1206,ORD-109,2022-07-12,North America,Mid Value,1,204.2,204.2,117.62,67.41,19.17
CUST-6134,ORD-110,2023-08-08,Asia,High Value,5,305.99,1529.94,748.98,17.24,763.73
CUST-6977,ORD-111,2023-02-19,North America,Mid Value,1,267.42,267.42,176.22,47.51,43.69
CUST-8721,ORD-112,2022-04-28,North America,Low Value,2,247.87,495.74,332.5,17.22,146.01
CUST-8035,ORD-113,2023-10-28,Africa,Mid Value,3,158.29,474.87,314.04,61.65,99.17
CUST-2484,ORD-114,2022-07-28,Europe,High Value,5,360.43,1802.13,1253.29,26.35,522.49
CUST-8858,ORD-115,2022-02-03,North America,Low Value,2,271.53,543.07,368.56,25.16,149.35
CUST-1863,ORD-116,2023-10-11,North America,Low Value,4,57.73,230.92,120.06,62.74,48.12
CUST-3790,ORD-117,2022-11-14,North America,High Value,5,20.25,101.25,53.52,68.15,-20.42
CUST-8408,ORD-118,2022-04-30,Africa,High Value,4,29.75,119.01,69.4,30.75,18.86
CUST-9755,ORD-119,2023-09-19,Africa,Low Value,3,56.46,169.37,92.52,42.58,34.27
CUST-6116,ORD-120,2023-06-09,Europe,Mid Value,5,198.06,990.29,685.75,57.01,247.53
CUST-7019,ORD-121,2023-08-04,North America,High Value,5,166.72,833.6,445.88,60.89,326.83
CUST-2757,ORD-122,2022-03-30,North America,Low Value,2,95.19,190.38,120.89,62.76,6.72
CUST-8574,ORD-123,2023-05-27,Europe,High Value,1,267.42,267.42,158.8,34.28,74.33
CUST-7374,ORD-124,2022-02-16,Europe,Mid Value,5,485.69,2428.44,1673.48,45.23,709.73
CUST-7892,ORD-125,2023-11-23,Europe,Mid Value,3,97.13,291.4,185.37,13.22,92.82
CUST-2678,ORD-126,2023-06-06,Asia,Low Value,5,140.28,701.42,368.88,76.14,256.39
CUST-4242,ORD-127,2022-10-11,Europe,Mid Value,5,241.81,1209.05,603.64,57.61,547.8
CUST-5636,ORD-128,2023-01-12,Africa,Mid Value,5,327.6,1638.02,1087.08,33.17,517.77
CUST-2059,ORD-129,2023-09-30,Asia,Mid Value,5,308.12,1540.6,1044.15,34.22,462.23
CUST-7668,ORD-130,2022-05-14,Europe,High Value,3,270.18,810.53,533.14,11.79,265.6
CUST-4157,ORD-131,2023-10-29,Africa,Low Value,2,373.89,747.78,474.36,39.27,234.15
CUST-6915,ORD-132,2022-09-05,Europe,Low Value,1,426.05,426.05,225.99,55.48,144.58
CUST-3693,ORD-133,2023-10-14,Europe,Low Value,3,499.5,1498.51,863.66,76.44,558.41
CUST-4627,ORD-134,2022-11-14,Asia,Mid Value,3,243.45,730.34,495.84,53.57,180.92
CUST-6450,ORD-135,2023-03-12,Africa,High Value,4,497.58,1990.32,962.76,53.8,973.75
CUST-2663,ORD-136,2022-06-25,North America,Low Value,1,370.64,370.64,212.65,63.98,94.01
CUST-6592,ORD-137,2023-11-17,Europe,High Value,2,335.52,671.05,361.61,43.24,266.2
CUST-8392,ORD-138,2023-08-09,Asia,Low Value,2,327.05,654.1,405.13,7.41,241.56
CUST-2306,ORD-139,2022-12-17,Africa,Mid Value,4,457.16,1828.63,1112.75,71.74,644.14
CUST-7776,ORD-140,2022-05-23,Europe,Low Value,4,475.01,1900.03,1121.05,35.19,743.8
CUST-6864,ORD-141,2023-02-02,North America,Low Value,3,105.68,317.03,164.83,78.85,73.36
CUST-8526,ORD-142,2023-09-16,Africa,Mid Value,2,256.84,513.69,251.65,35.48,226.56
CUST-9901,ORD-143,2023-12-19,Africa,Mid Value,2,471.9,943.79,609.77,55.13,278.9
CUST-6575,ORD-144,2023-10-05,Asia,Low Value,2,203.41,406.83,283.94,39.49,83.4
CUST-6530,ORD-145,2023-01-04,Europe,High Value,3,131.68,395.05,194.47,22.43,178.15
CUST-5413,ORD-146,2023-05-16,Europe,Mid Value,2,69.27,138.55,64.97,74.81,-1.23
CUST-4748,ORD-147,2023-09-14,Africa,Low Value,5,306.66,1533.32,975.86,52.04,505.43
CUST-1663,ORD-148,2023-01-05,Europe,Mid Value,4,356.13,1424.52,763.49,38.79,622.24
CUST-2998,ORD-149,2023-08-02,Africa,High Value,4,113.86,455.45,229.21,15.81,210.43
CUST-8994,ORD-150,2023-01-17,North America,Low Value,4,343.35,1373.39,798.32,79.93,495.13
CUST-2495,ORD-151,2022-03-27,Asia,Low Value,4,451.82,1807.27,1118.34,72.14,616.79
CUST-4304,ORD-152,2023-04-05,Europe,High Value,5,136.92,684.59,344.84,36.71,303.05
CUST-4763,ORD-153,2022-11-21,Europe,High Value,1,78.56,78.56,54.88,17.86,5.82
CUST-6232,ORD-154,2023-06-06,Asia,Low Value,2,421.0,842.01,447.99,7.23,386.79
CUST-2853,ORD-155,2023-05-04,North America,High Value,4,459.89,1839.58,972.65,16.39,850.53
CUST-7585,ORD-156,2023-02-01,North America,High Value,2,123.13,246.27,136.86,45.08,64.32
CUST-2291,ORD-157,2022-12-21,North America,Low Value,2,366.26,732.53,466.07,66.18,200.27
CUST-4581,ORD-158,2022-10-15,North America,Mid Value,5,303.64,1518.21,1014.64,32.26,471.3
CUST-8554,ORD-159,2023-04-04,North America,High Value,2,134.81,269.63,143.17,37.55,88.91
CUST-8280,ORD-160,2023-09-16,Africa,Mid Value,4,415.36,1661.42,796.96,40.5,823.96
CUST-2636,ORD-161,2023-06-20,Europe,Mid Value,2,245.81,491.62,252.71,6.32,232.59
CUST-4696,ORD-162,2022-10-18,Europe,Mid Value,5,356.16,1780.8,838.88,18.28,923.64
CUST-1698,ORD-163,2022-06-17,Europe,High Value,4,164.68,658.73,400.24,42.57,215.93
CUST-5737,ORD-164,2023-09-13,Africa,Low Value,5,411.58,2057.88,1307.11,25.95,724.81
CUST-1854,ORD-165,2023-03-04,Asia,Low Value,3,146.86,440.57,245.54,44.25,150.78
CUST-9164,ORD-166,2023-12-03,North America,Low Value,1,195.1,195.1,134.27,13.11,47.72
CUST-6855,ORD-167,2023-05-05,Asia,Low Value,2,207.91,415.81,262.74,65.21,87.86
CUST-8392,ORD-168,2022-12-21,North America,Low Value,2,119.08,238.17,129.78,63.78,44.61
CUST-7528,ORD-169,2022-07-15,North America,Low Value,2,439.7,879.39,418.2,55.24,405.96
CUST-6249,ORD-170,2023-06-29,Asia,Mid Value,3,74.47,223.42,128.12,44.86,50.45
CUST-6172,ORD-171,2023-12-18,Europe,Mid Value,1,290.3,290.3,167.2,34.24,88.86
CUST-2707,ORD-172,2023-11-25,Africa,Mid Value,5,410.79,2053.96,1207.0,56.2,790.76
CUST-6791,ORD-173,2023-10-21,Asia,High Value,3,298.83,896.5,556.38,63.64,276.49
CUST-6535,ORD-174,2022-01-11,Europe,High Value,3,176.91,530.73,273.91,65.64,191.18
CUST-5931,ORD-175,2023-08-05,North America,High Value,4,395.05,1580.2,712.07,31.07,837.06
CUST-4510,ORD-176,2022-09-13,Europe,Low Value,3,259.61,778.82,508.73,19.55,250.54
CUST-1202,ORD-177,2023-01-31,North America,Mid Value,3,98.25,294.74,193.31,30.64,70.79
CUST-5218,ORD-178,2023-02-13,North America,High Value,2,172.09,344.19,233.33,5.58,105.28
CUST-9958,ORD-179,2022-12-28,Europe,Mid Value,4,304.13,1216.52,842.15,36.74,337.63
CUST-5389,ORD-180,2022-09-16,North America,Low Value,5,336.21,1681.06,823.37,25.51,832.18
CUST-3327,ORD-181,2022-01-03,Africa,Mid Value,1,283.1,283.1,152.44,64.25,66.41
CUST-9004,ORD-182,2022-03-25,Europe,Low Value,5,150.56,752.82,499.0,55.61,198.21
CUST-3931,ORD-183,2022-06-05,Asia,High Value,4,305.0,1220.01,833.87,6.95,379.18
CUST-8777,ORD-184,2023-10-25,North America,Low Value,2,179.58,359.15,162.92,15.82,180.41
CUST-1197,ORD-185,2022-06-25,North America,Low Value,1,127.96,127.96,69.98,45.66,12.32
CUST-8125,ORD-186,2023-12-08,Africa,Mid Value,5,473.85,2369.27,1133.33,51.36,1184.58
CUST-2930,ORD-187,2023-04-17,Africa,Low Value,1,171.14,171.14,110.75,62.67,-2.27
CUST-7287,ORD-188,2023-09-11,Asia,High Value,1,181.1,181.1,115.32,77.62,-11.84
CUST-9800,ORD-189,2023-02-28,North America,High Value,1,450.45,450.45,287.65,57.64,105.16
CUST-5282,ORD-190,2022-05-14,Asia,Low Value,3,88.49,265.48,145.36,45.87,74.25
CUST-3511,ORD-191,2023-01-15,Asia,Mid Value,4,300.61,1202.42,663.21,36.08,503.13
CUST-1659,ORD-192,2023-10-29,North America,High Value,4,396.18,1584.72,816.87,60.36,707.49
CUST-3811,ORD-193,2022-10-04,Asia,High Value,2,151.36,302.72,163.54,75.11,64.08
CUST-8098,ORD-194,2022-08-24,Asia,Low Value,5,425.16,2125.79,1479.06,36.72,610.01
CUST-7546,ORD-195,2022-01-13,Africa,Low Value,2,389.43,778.86,359.56,48.85,370.46
CUST-2986,ORD-196,2022-12-08,Africa,High Value,5,253.33,1266.63,672.58,20.53,573.52
CUST-9338,ORD-197,2022-02-04,Asia,Low Value,1,76.98,76.98,49.85,69.31,-42.17
CUST-3911,ORD-198,2023-07-13,North America,Low Value,5,485.65,2428.26,1324.82,58.51,1044.92
CUST-2734,ORD-199,2022-08-02,Africa,High Value,5,319.63,1598.15,1098.72,31.6,467.83
CUST-2843,ORD-200,2023-02-16,Asia,Mid Value,1,268.21,268.21,142.96,70.55,54.69
CUST-9680,ORD-201,2023-02-09,Europe,Mid Value,2,445.02,890.03,589.59,77.81,222.63
CUST-3976,ORD-202,2023-05-09,Europe,High Value,5,222.25,1111.25,726.51,26.64,358.11
CUST-2959,ORD-203,2023-10-20,Asia,Low Value,2,290.55,581.1,262.83,19.0,299.27
CUST-6759,ORD-204,2022-06-08,Europe,High Value,2,432.04,864.08,475.89,67.39,320.8
CUST-7694,ORD-205,2023-09-29,Africa,High Value,4,208.63,834.51,434.08,48.68,351.75
CUST-3385,ORD-206,2022-04-20,North America,Low Value,1,390.75,390.75,222.69,71.33,96.73
CUST-5736,ORD-207,2023-07-03,Asia,Mid Value,1,142.95,142.95,80.86,31.06,31.02
CUST-2802,ORD-208,2023-06-10,Africa,Mid Value,3,357.14,1071.41,724.68,48.59,298.13
CUST-9155,ORD-209,2022-12-13,North America,Low Value,2,265.01,530.02,262.83,48.29,218.89
CUST-9120,ORD-210,2023-09-28,Europe,High Value,3,99.16,297.47,147.41,19.12,130.94
CUST-7616,ORD-211,2022-10-06,Europe,Low Value,1,85.28,85.28,40.68,79.39,-34.79
CUST-6534,ORD-212,2023-04-24,Europe,High Value,1,239.69,239.69,152.12,54.8,32.76
CUST-5061,ORD-213,2022-04-21,Europe,Low Value,3,361.21,1083.62,736.28,54.81,292.53
CUST-1262,ORD-214,2023-09-28,Africa,Low Value,1,309.58,309.58,167.83,27.27,114.48
CUST-7287,ORD-215,2023-03-07,Africa,Mid Value,1,430.27,430.27,200.27,53.78,176.22
CUST-9815,ORD-216,2023-06-26,North America,Mid Value,4,207.04,828.15,404.97,67.47,355.71
CUST-3049,ORD-217,2022-04-25,Asia,Low Value,5,424.95,2124.74,1010.52,66.01,1048.21
CUST-6423,ORD-218,2022-03-31,North America,Low Value,4,37.77,151.09,90.37,73.98,-13.25
CUST-5548,ORD-219,2022-07-31,Asia,Mid Value,5,195.59,977.93,509.09,16.15,452.69
CUST-4108,ORD-220,2023-07-04,Europe,High Value,4,55.03,220.13,148.45,18.71,52.97
CUST-8158,ORD-221,2023-08-18,Europe,Mid Value,4,461.24,1844.95,905.08,58.26,881.61
CUST-8400,ORD-222,2023-06-23,Europe,High Value,2,248.15,496.3,338.74,65.58,91.98
CUST-4170,ORD-223,2023-12-30,Europe,Mid Value,3,171.76,515.27,274.73,55.57,184.96
CUST-3255,ORD-224,2022-12-26,Africa,Mid Value,4,256.39,1025.58,683.88,15.71,325.98
CUST-2154,ORD-225,2023-05-01,North America,High Value,2,275.77,551.53,379.04,49.62,122.87
CUST-5499,ORD-226,2023-01-07,Asia,Low Value,4,426.19,1704.77,1187.52,61.13,456.11
CUST-7295,ORD-227,2022-08-03,Asia,Mid Value,3,280.37,841.1,547.47,15.27,278.35
CUST-7197,ORD-228,2022-01-15,Africa,Mid Value,2,227.06,454.13,215.9,9.19,229.04
CUST-2648,ORD-229,2022-09-16,Europe,Mid Value,5,481.45,2407.25,1116.59,24.11,1266.55
CUST-6539,ORD-230,2023-04-08,North America,Low Value,3,484.91,1454.72,923.65,11.81,519.27
CUST-5199,ORD-231,2022-04-30,Europe,Mid Value,1,38.44,38.44,25.92,16.14,-3.62
CUST-9445,ORD-232,2022-05-08,Africa,Low Value,2,359.29,718.57,353.19,20.25,345.13
CUST-3557,ORD-233,2023-12-24,Asia,Mid Value,1,198.44,198.44,135.99,44.8,17.65
CUST-6592,ORD-234,2023-06-07,Africa,High Value,2,344.1,688.19,414.67,16.69,256.83
CUST-1098,ORD-235,2023-11-19,Asia,Mid Value,5,325.72,1628.61,783.37,50.35,794.9
CUST-3200,ORD-236,2023-10-07,North America,Mid Value,2,178.45,356.9,175.51,26.8,154.59
CUST-3961,ORD-237,2022-11-21,Asia,Low Value,4,493.6,1974.38,921.03,28.29,1025.06
CUST-5973,ORD-238,2022-11-16,North America,Low Value,1,191.41,191.41,92.99,77.55,20.87
CUST-5433,ORD-239,2023-05-21,Europe,Low Value,1,323.35,323.35,204.69,65.39,53.27
CUST-3869,ORD-240,2023-06-10,Europe,High Value,2,410.43,820.85,414.28,36.81,369.76
CUST-1956,ORD-241,2022-02-19,Africa,High Value,4,89.82,359.29,212.13,38.56,108.6
CUST-9352,ORD-242,2023-08-07,North America,Low Value,4,164.27,657.09,414.15,13.61,229.34
CUST-6699,ORD-243,2022-03-10,Europe,High Value,2,115.51,231.01,155.66,68.34,7.01
CUST-7944,ORD-244,2023-01-26,North America,Low Value,3,395.27,1185.82,708.51,5.3,472.02
CUST-5493,ORD-245,2023-01-18,Europe,High Value,5,404.58,2022.9,1198.43,15.84,808.64
CUST-5911,ORD-246,2022-01-16,Europe,Low Value,2,142.85,285.71,193.77,45.05,46.88
CUST-4987,ORD-247,2023-03-15,Asia,Low Value,4,21.98,87.93,46.05,19.13,22.75
CUST-7015,ORD-248,2023-07-22,Africa,High Value,5,223.21,1116.04,559.05,52.46,504.53
CUST-2218,ORD-249,2023-09-09,Asia,Mid Value,2,349.83,699.65,467.51,5.27,226.87
CUST-5496,ORD-250,2022-05-12,North America,Low Value,5,318.8,1594.01,747.0,12.38,834.62
CUST-5735,ORD-251,2023-07-14,Europe,Low Value,3,233.94,701.81,349.09,62.35,290.36
CUST-5555,ORD-252,2022-09-05,Africa,Mid Value,4,164.93,659.73,364.71,48.24,246.78
CUST-9050,ORD-253,2022-09-30,Europe,Low Value,3,247.71,743.12,401.52,6.46,335.14
CUST-4446,ORD-254,2023-09-15,Europe,Low Value,3,27.25,81.75,51.22,20.44,10.09
CUST-2045,ORD-255,2022-12-15,Asia,High Value,4,55.46,221.83,104.92,22.92,93.99
CUST-7893,ORD-256,2023-04-29,North America,Mid Value,3,98.08,294.25,167.52,68.68,58.06
CUST-2693,ORD-257,2023-07-04,Africa,Low Value,2,320.19,640.39,417.62,48.69,174.08
CUST-4436,ORD-258,2022-12-23,Africa,Low Value,2,125.02,250.05,155.24,45.61,49.2
CUST-9754,ORD-259,2022-11-14,Africa,Mid Value,5,223.22,1116.11,678.5,11.5,426.11
CUST-6895,ORD-260,2023-09-25,North America,Mid Value,2,318.28,636.55,324.54,54.27,257.74
CUST-4354,ORD-261,2022-02-17,Africa,High Value,2,418.68,837.35,459.21,16.69,361.45
CUST-1225,ORD-262,2022-01-10,North America,High Value,5,283.84,1419.18,702.75,44.13,672.3
CUST-5893,ORD-263,2022-08-21,Africa,High Value,1,105.02,105.02,60.62,49.45,-5.05
CUST-8022,ORD-264,2022-02-05,Europe,Low Value,4,476.83,1907.34,1136.85,68.14,702.34
CUST-6600,ORD-265,2023-02-17,North America,Mid Value,2,63.21,126.41,76.83,65.48,-15.9
CUST-8996,ORD-266,2023-04-07,Asia,High Value,5,196.22,981.09,656.34,19.26,305.49
CUST-8683,ORD-267,2022-01-04,Africa,Mid Value,3,462.24,1386.71,645.45,73.71,667.54
CUST-5642,ORD-268,2022-02-13,Asia,Low Value,3,309.12,927.36,507.34,5.21,414.82
CUST-8679,ORD-269,2023-07-22,North America,Low Value,2,338.07,676.15,404.16,29.76,242.23
